,0
0,56
1,57
2,129
3,176
4,177
5,178
6,198
7,199
8,200
9,201
10,246
11,247
12,248
13,249
14,269
15,270
16,271
17,272
18,317
19,318
20,319
21,320
22,339
23,340
24,341
25,342
26,343
27,387
28,388
29,389
30,390
31,391
32,392
33,410
34,411
35,412
36,413
37,458
38,459
39,460
40,461
41,462
42,463
43,464
44,471
45,481
46,482
47,483
48,484
49,524
50,525
51,528
52,529
53,530
54,531
55,532
56,533
57,534
58,535
59,536
60,537
61,539
62,540
63,541
64,542
65,543
66,549
67,550
68,551
69,552
70,553
71,554
72,595
73,596
74,601
75,602
76,603
77,604
78,605
79,606
80,607
81,608
82,609
83,610
84,611
85,612
86,613
87,614
88,615
89,616
90,617
91,618
92,619
93,620
94,621
95,622
96,623
97,624
98,625
99,656
100,657
101,658
102,664
103,665
104,666
105,667
106,670
107,671
108,672
109,673
110,674
111,675
112,676
113,677
114,678
115,679
116,680
117,681
118,682
119,683
120,684
121,685
122,686
123,687
124,688
125,689
126,690
127,691
128,692
129,693
130,694
131,695
132,696
133,725
134,726
135,727
136,728
137,729
138,730
139,732
140,733
141,734
142,738
143,739
144,741
145,742
146,743
147,744
148,745
149,746
150,747
151,748
152,749
153,750
154,751
155,752
156,753
157,754
158,755
159,756
160,757
161,758
162,759
163,760
164,761
165,762
166,763
167,764
168,765
169,766
170,767
171,768
172,790
173,791
174,792
175,793
176,794
177,797
178,798
179,799
180,800
181,801
182,802
183,803
184,804
185,805
186,806
187,807
188,808
189,809
190,810
191,811
192,812
193,813
194,814
195,815
196,816
197,817
198,818
199,819
200,820
201,821
202,822
203,823
204,824
205,825
206,826
207,827
208,828
209,829
210,830
211,831
212,832
213,833
214,834
215,835
216,836
217,837
218,838
219,839
220,840
221,860
222,861
223,862
224,863
225,865
226,867
227,868
228,869
229,870
230,872
231,873
232,874
233,875
234,876
235,877
236,878
237,879
238,880
239,881
240,882
241,885
242,886
243,887
244,888
245,889
246,890
247,891
248,892
249,893
250,894
251,895
252,896
253,897
254,898
255,899
256,900
257,901
258,902
259,903
260,904
261,905
262,906
263,907
264,908
265,909
266,910
267,911
268,912
269,928
270,929
271,930
272,931
273,932
274,933
275,934
276,936
277,938
278,939
279,940
280,941
281,942
282,943
283,944
284,945
285,946
286,947
287,948
288,951
289,952
290,953
291,955
292,956
293,957
294,958
295,959
296,960
297,961
298,962
299,963
300,964
301,965
302,966
303,967
304,968
305,969
306,970
307,971
308,972
309,973
310,974
311,975
312,976
313,977
314,978
315,979
316,980
317,981
318,982
319,983
320,984
321,985
322,999
323,1000
324,1001
325,1002
326,1003
327,1004
328,1007
329,1008
330,1009
331,1010
332,1011
333,1012
334,1013
335,1014
336,1015
337,1016
338,1017
339,1018
340,1019
341,1020
342,1021
343,1023
344,1024
345,1025
346,1026
347,1027
348,1028
349,1029
350,1030
351,1031
352,1032
353,1033
354,1034
355,1035
356,1036
357,1037
358,1038
359,1039
360,1040
361,1041
362,1042
363,1043
364,1044
365,1045
366,1046
367,1047
368,1048
369,1049
370,1050
371,1051
372,1052
373,1053
374,1054
375,1055
376,1056
377,1057
378,1059
379,1069
380,1070
381,1071
382,1072
383,1073
384,1074
385,1075
386,1076
387,1077
388,1078
389,1080
390,1081
391,1082
392,1085
393,1086
394,1087
395,1088
396,1089
397,1090
398,1091
399,1092
400,1094
401,1095
402,1096
403,1097
404,1098
405,1099
406,1100
407,1101
408,1102
409,1103
410,1104
411,1105
412,1106
413,1107
414,1108
415,1109
416,1110
417,1111
418,1112
419,1113
420,1114
421,1115
422,1116
423,1117
424,1118
425,1119
426,1120
427,1121
428,1122
